protected,subzone,mean_elev_cv,mean_loreys_height,mean_percentage_first_returns_above_2m,mean_total_biomass,sd_elev_cv,sd_loreys_height,sd_percentage_first_returns_above_2m,sd_total_biomass,count
protected,ESSF_mkp,0.3987791662661475,14.22349978104613,57.50426127078532,83.82856024435212,0.10318417805806297,5.276403326751015,23.862255479987567,62.98585292160628,93627
unprotected,ESSF_mkp,0.40250155872996984,14.379428031517174,56.687410586547415,85.95214538890986,0.10739067006197858,5.44052307869681,24.125760675716755,64.78614509286707,93666
protected,ESSF_mm,0.35888308050618223,19.76070542719415,64.72222963581352,140.07741694780466,0.11342279430408017,5.588979757049452,26.605851600266963,87.17474763403168,944975
unprotected,ESSF_mm,0.3728444421578301,19.482338268132597,64.15389426901605,138.55880314918247,0.10824711698370719,6.233087142756567,26.614134067862896,93.69844942224672,942164
protected,ESSF_mmp,0.3605970640429279,18.58549453456914,55.22530910769971,114.78217451059507,0.10037112502202677,5.57000625639121,29.31728342358637,86.12671869524654,344896
unprotected,ESSF_mmp,0.36825198441502655,17.988830470969045,54.465243290125834,109.75369625845197,0.09623965089028554,5.9155029171009845,28.982723203676553,87.0120616440559,344938
protected,ESSF_mmw,0.3512735927357931,20.346068520541262,67.06588890863044,147.46799446676113,0.10902123600881207,5.392567293138969,27.538237057114184,87.89876938880174,140965
unprotected,ESSF_mmw,0.35712799608329726,20.530107653214063,67.09332134194086,149.4869245179317,0.11087015249964684,5.453229174033771,28.083172766456414,89.35255078742055,140934
protected,ESSF_mv,0.37913345981470165,16.20365820356488,56.812807766827206,100.42100334967544,0.10011270870906157,6.68154253229273,24.761745973848907,88.91473919003552,2391409
unprotected,ESSF_mv,0.3806176448429212,16.689475515637874,57.48493833142983,104.32963823416317,0.10313393817726065,6.81110537830392,24.90067297224874,89.22622250403253,2388426
protected,ESSF_mvp,0.3776134253934843,16.20325871176016,59.579609573131876,108.57834716655493,0.1052802595846769,7.51298072255864,26.706585203713427,97.85013374094925,317473
unprotected,ESSF_mvp,0.3809953737304947,14.801154879041773,55.182374103023086,88.77182762886748,0.10140012284605614,6.922464562061302,27.479820008416176,87.1135467943162,316886
protected,ESSF_mw,0.3697528892995591,22.458337295367016,70.11574942470541,188.978156034864,0.12799444494032883,7.73112557491459,25.319808374199198,131.25385384531523,1249525
unprotected,ESSF_mw,0.3570471604737033,23.270246104355873,78.0503085875203,211.19237481090659,0.13717900611128547,6.493920585953521,21.025928774348788,112.67131117927461,1232388
protected,ESSF_mwp,0.36669402035625615,21.180765462907665,57.935086122527764,150.07161088275643,0.11845691784498438,6.482139383828513,30.40424967394846,112.583519139541,20436
unprotected,ESSF_mwp,0.3844684870848984,20.2386091020907,55.914413284132266,135.10103813038126,0.12772346133570964,6.615541224156326,30.480239730990842,108.19337134135799,20325
protected,ESSF_mww,0.36398854605617376,22.95525942475388,69.12921660680566,190.44078579708682,0.12537877071417108,6.747483694407579,26.774653652956644,117.91654243361646,70718
unprotected,ESSF_mww,0.3680771891054164,22.09569827511677,69.56829348792539,180.3744496742464,0.12878460368024822,6.750824998230442,26.058169885211612,112.75249846096163,69686
protected,ESSF_un,0.38123327972290294,14.22411547173993,68.0145835896607,96.24508641984535,0.11482993631363324,4.049294400882063,22.918386281395215,58.606678631590256,761052
unprotected,ESSF_un,0.3789125994111318,14.48654014506935,69.96768515089596,99.75559336684826,0.12231134069921279,4.25678334634239,22.019600857503644,61.146425340111634,760853
protected,ESSF_unp,0.40558732423979293,12.511485405896849,54.370806468565895,66.01109729896729,0.10265003081412999,3.9451511979573683,23.7829493554285,45.78682357668144,133136
unprotected,ESSF_unp,0.40708220906818915,12.79143373846788,55.93871398093813,69.50953599649264,0.11533419421394349,4.231595216180913,24.595134180173293,50.084073300578424,133124
protected,ESSF_vc,0.37505240774603016,22.253400466328042,77.9518339154267,189.83644130900416,0.11807137345749862,6.105235519543079,18.755273551263304,94.79494727236737,182702
unprotected,ESSF_vc,0.3791033531654457,22.134963331774358,77.38600663513229,185.26355835845976,0.12111998640429016,6.0295838957538255,19.396912057133623,89.97778858182183,182365
protected,ESSF_vcp,0.3596687898089121,19.92018647045871,52.43944322424991,124.07440368987268,0.0932039016266242,5.280071587172309,32.22117530306303,98.50553778249193,9106
unprotected,ESSF_vcp,0.35612563145178205,19.535782121677705,52.99651768065202,121.37170107621141,0.09605760231728422,5.337093463083449,32.07550075792373,93.94311081116992,9106
protected,ESSF_vcw,0.3630202736495915,19.412655294374908,63.15309909973846,137.54863282365943,0.10850565185161283,5.849598660491532,28.147650574269143,89.17439400317079,55984
unprotected,ESSF_vcw,0.35927849706233966,19.55854592210826,64.00511420254526,138.8078416700872,0.10694656209886287,5.719493561108663,28.316961441490346,87.58861956605222,55997
protected,ESSF_wc,0.3706118056892097,19.341404753519047,62.32624483121441,131.77423495669785,0.1064900004968632,5.856674376608664,27.618634363070438,89.36839733914945,2473841
unprotected,ESSF_wc,0.3667382030768417,19.514160186028402,65.69025624435406,142.3617013625747,0.11100914949394228,6.583157330923018,25.371631242849634,95.3772271290382,2465770
protected,ESSF_wcp,0.36693380690376615,18.32981007798942,56.50295820024517,116.93266507312899,0.09798786586611721,6.189396571928628,29.140071967675787,92.42988666360009,402897
unprotected,ESSF_wcp,0.37062234583296044,17.60620764328787,55.77358252619318,111.1349068322283,0.10044154974221557,6.636655237862081,28.736271543559937,93.30823206466482,402339
protected,ESSF_wcw,0.36475070986828473,18.70632058922457,56.50525777950128,116.1825764392352,0.09967898131948534,5.271265309844198,30.42720656139141,86.00715912281562,826210
unprotected,ESSF_wcw,0.3564617112922493,19.333273036326656,60.34884018953617,128.85442672847526,0.10153414160364593,5.398485745211192,29.585210273835095,88.4366450843489,826066
protected,ESSF_wh,0.3742600653775407,23.07601733501551,78.15005440795166,203.9418708473805,0.12402879103361132,6.473254857292742,21.02097880663534,114.82738003777335,497721
unprotected,ESSF_wh,0.3769512205974678,22.81744383833103,79.23570796700481,201.26485718047516,0.12661352643239335,6.493108728970418,19.02522929170697,108.53979182505975,494225
protected,ESSF_wk,0.3791283495615872,20.56736514508277,66.97911609840108,156.4686239901295,0.1128237059961664,7.098876501204062,25.52419888444357,105.23971942889838,973038
unprotected,ESSF_wk,0.37677523841064986,20.932327823899307,67.96630535072369,162.3933145358242,0.1193038499178403,7.41377009724106,24.40660530057228,110.66804659192964,968395
protected,ESSF_wm,0.3683233728652983,22.316668003775806,71.95597895458239,187.35468989324897,0.12064158182284739,6.902310261486021,26.227630981770425,121.14375817698651,620754
unprotected,ESSF_wm,0.3714278407400686,22.219404862981555,74.36668266264688,192.38195952874273,0.1255396608197529,7.217563343169536,23.794573043145466,128.32139658381863,617031
protected,ESSF_wmp,0.34004251343146374,21.262417379115348,53.314640037373906,144.05053679046497,0.0971590496285512,5.509979551416975,33.880459554387635,117.32686746779008,21405
unprotected,ESSF_wmp,0.33705975239433206,21.111459845829142,51.012107918709916,139.59712730669722,0.09666970271467563,5.694717674248744,33.57335470468294,118.56191192045996,21405
protected,ESSF_wmw,0.3471358058741591,21.488616702058966,59.87132853105078,157.12261006662024,0.10487584331314062,5.965375061681185,32.71570094717258,118.57206386175625,184911
unprotected,ESSF_wmw,0.34647273513976123,20.819760457539154,61.01213224082682,151.22764681715103,0.10299756686767952,6.008697019039271,31.30142260955624,114.3229276081022,184890
protected,ESSF_wv,0.4239301066955344,15.602324570898812,68.61524740993157,108.53539044379754,0.1372539736249596,4.5859478331247185,20.347255186522748,62.36919096833183,12934
unprotected,ESSF_wv,0.39068652328640385,14.932450487389794,70.79520114497912,101.14631982052178,0.12062512281746227,4.61170940970062,19.766188824461246,61.8656147924726,12926
protected,ESSF_wvp,0.4328717948717949,11.36479487179487,30.02641025641025,42.959487179487176,0.12165096306694295,3.3476088023628474,18.503876476818736,25.206492474915848,39
unprotected,ESSF_wvp,0.4134102564102564,13.599692307692312,56.20794871794871,77.14102564102564,0.14311583787244697,4.612345590933362,26.86097503613817,49.580447801361544,39
protected,ESSF_xc,0.34116008306043477,21.422773018300546,61.955853038726566,159.07108747129462,0.11344763442290462,5.954020499825779,30.531177856761843,117.51089095728217,499397
unprotected,ESSF_xc,0.34479123672603346,20.520493273772228,63.51762333441261,144.44200894398202,0.11283609880147402,5.3264482756149185,28.299128125000994,97.06935187033733,498421
protected,ESSF_xcp,0.3527576944599927,19.86209217363533,53.44271724358421,124.33371092812854,0.09843265664148662,5.471270636374793,30.824150044448157,96.20189360418003,12509
unprotected,ESSF_xcp,0.3513228484751659,19.552001916014873,56.81094683059224,127.65595241896719,0.09052921293853604,5.5311762277071415,30.051562312578607,95.61763825017832,12526
protected,ESSF_xcw,0.3395468970834031,20.61008126686697,60.61910124630555,146.5645323140248,0.10455273103939679,5.584767522791634,29.92762798713597,103.61923871908309,46698
unprotected,ESSF_xcw,0.35340741613976673,20.93666745258302,64.30226085092646,152.8948937948916,0.11315430209462933,5.934892239887493,28.89097185749274,106.00131981330084,46655
protected,ESSF_xv,0.35102067081686195,19.66191602706091,44.53117436187654,103.24183058275197,0.10959526674820161,4.795694034084207,28.85445974820162,80.87296303813503,1083218
